,Company Name,CAM,CCR,Company Name 2,Ticker Symbol,mcap,pe,eps,donations,raid/court cases,contracts,de
45,MARUTI SUZUKI INDIA LTD,67.0,99,maruti suzuki india,MARUTI,3941161221313.0,29.22,429.01,1.0,0.0,0.0,0
46,MUTHOOT FINANCE LTD,75.0,48,muthoot finance,MUTHOOTFIN,663053968758.0,15.94,103.59,1.0,0.0,0.0,2.73
47,NATCO PHARMA LTD,99.0,96,natco pharma,NATCOPHARM,176065031700.0,13.88,70.84,9.0,0.0,0.0,0.03
48,NCC LTD,91.0,59,ncc,NCC,424463409.0,22.6,-0.04,2.0,0.0,0.0,0.16
49,NUVOCO VISTAS CORPORATION LTD,19.0,16,nuvoco vistas corporation,NUVOCO,115539966000.0,78.33,4.13,1.0,0.0,0.0,0.49
50,PCBL LTD,90.0,59,pcbl,PCBL,99105801127.0,20.6,12.76,4.0,0.0,0.0,0.36
51,PIRAMAL ENTERPRISES LTD,71.0,24,piramal enterprises,PEL,200093013224.0,13.8,-90.77,2.0,0.0,0.0,1.62
52,R R KABEL LTD,47.0,69,r r kabel,RRKABEL,185022668000.0,64.42,25.46,1.0,0.0,0.0,0.41
53,RADICO KHAITAN LTD,46.0,89,radico khaitan,RADICO,224730162561.0,88.69,18.77,1.0,0.0,0.0,0.34
54,THE RAMCO CEMENTS LIMITED,18.0,41,the ramco cements,RAMCOCEM,180763609500.0,45.79,16.71,6.0,0.0,0.0,0.66
55,RPSG VENTURES LTD,95.0,8,rpsg ventures,RPSGVENT,21564067717.0,-33.04,-22.25,1.0,0.0,0.0,1.42
56,SHREE CEMENT LTD,36.0,96,shree cement,SHREECEM,927087683288.0,41.27,622.66,2.0,0.0,0.0,0.15
57,TECH MAHINDRA LTD,62.0,93,tech mahindra,TECHM,1257827143990.0,48.34,26.58,1.0,0.0,0.0,0.1
58,TORRENT PHARMACEUTICALS LTD,72.0,95,torrent pharmaceuticals,TORNTPHARM,874881359000.0,58.17,44.44,10.0,0.0,0.0,0.87
59,TORRENT POWER LTD,53.0,60,torrent power,TORNTPOWER,641288553004.0,34.53,38.54,11.0,0.0,0.0,0.96
60,TRIDENT LTD,52.0,46,trident,TRIDENT,194442302283.0,45.53,0.85,1.0,0.0,0.0,0.34
61,TVS MOTOR COMPANY LTD,48.0,64,tvs motor company,TVSMOTOR,952590648072.0,58.75,34.43,1.0,0.0,,4.07
62,UPL LTD,44.0,13,upl,UPL,39068650.0,33.76,-16.2,1.0,1.0,0.0,0.8
63,VARDHMAN TEXTILES LTD,70.0,81,vardhman textiles,VTL,125221654552.0,20.83,20.73,5.0,0.0,0.0,0.19
64,VEDANTA LTD,99.0,31,vedanta,VEDL,1505274248579.0,14.07,28.78,14.0,3.0,0.0,2.37
65,WELSPUN CORP LTD,86.0,59,welspun corp,WELCORP,154581243032.0,14.43,41.01,8.0,1.0,0.0,0.71
66,WELSPUN ENTERPRISES LTD,90.0,29,welspun enterprises,WELENT,51178072492.0,21.49,17.45,,,,0.32
67,WELSPUN LIVING LTD,59.0,60,welspun living,WELSPUNLIV,137186900000.0,29.14,5.46,1.0,0.0,0.0,0.58
68,ZENSAR TECHNOLOGIES LTD,82.0,93,zensar technologies,ZENSARTECH,136673568000.0,20.7,29.13,1.0,0.0,0.0,0.05
